order_line_id,order_id,order_date,order_status,customer_id,fullname,state,product_id,product_name,category,price,quantity,campaign_id,category2,spend
12069-4TMV42-1,12069-4TMV42,2017-08-23,Shipped,12069,Darin Wardhaw,CO,230,Magnemo,Electronics,72.75,1,,,
11239-0LHH93-1,11239-0LHH93,2020-06-14,Completed,11239,Karney Digwood,CA,240,PortaCode,Electronics,26.5,1,10100,Telephone,2208
11239-0LHH93-2,11239-0LHH93,2020-06-14,Completed,11239,Karney Digwood,CA,130,Slacks,Clothing,29.76,1,10100,Telephone,2208
11239-0LHH93-3,11239-0LHH93,2020-06-14,Completed,11239,Karney Digwood,CA,310,Applica,Home,32.34,1,10100,Telephone,2208
11239-0LHH93-4,11239-0LHH93,2020-06-14,Completed,11239,Karney Digwood,CA,150,Skirt,Clothing,20.14,1,10100,Telephone,2208
12287-0QYI21-1,12287-0QYI21,2020-12-04,Shipped,12287,Pinchas Esparza,CA,310,Applica,Home,32.34,1,,,
11605-3INI74-1,11605-3INI74,2017-05-15,Shipped,11605,Kylen Lankford,CA,320,ChalkTalk,Home,65.34,1,,,
11605-3INI74-2,11605-3INI74,2017-05-15,Shipped,11605,Kylen Lankford,CA,410,Biolid,Outdoor,276.0,1,,,
12328-0WVY51-1,12328-0WVY51,2015-11-10,Shipped,12328,Mickie Dowbiggin,SC,140,Shorts,Clothing,22.77,1,10016,Social,2412
12328-0WVY51-2,12328-0WVY51,2015-11-10,Shipped,12328,Mickie Dowbiggin,SC,120,Polo Shirt,Clothing,33.12,1,10016,Social,2412
11969-9ART21-1,11969-9ART21,2015-11-18,Shipped,11969,Rorke Dugmore,CA,160,T-Shirt,Clothing,20.0,1,,,
11019-4IKB16-1,11019-4IKB16,2019-03-01,Shipped,11019,Korella Smedmoor,CA,130,Slacks,Clothing,32.32,1,,,
11549-1JTD74-1,11549-1JTD74,2016-11-30,Shipped,11549,Freida Golly,CA,130,Slacks,Clothing,30.4,1,10035,Mobile,4056
11549-1JTD74-2,11549-1JTD74,2016-11-30,Shipped,11549,Freida Golly,CA,120,Polo Shirt,Clothing,43.2,1,10035,Mobile,4056
10113-1YFV95-1,10113-1YFV95,2016-11-25,Shipped,10113,Palmer Cusick,NE,160,T-Shirt,Clothing,17.28,1,,,
10113-1YFV95-2,10113-1YFV95,2016-11-25,Shipped,10113,Palmer Cusick,NE,230,Magnemo,Electronics,81.75,1,,,
10113-1YFV95-3,10113-1YFV95,2016-11-25,Shipped,10113,Palmer Cusick,NE,310,Applica,Home,28.38,1,,,
11192-1NIG91-1,11192-1NIG91,2019-04-03,Shipped,11192,Celisse Danieli,PA,160,T-Shirt,Clothing,15.68,1,,,
12552-0ZGT97-1,12552-0ZGT97,2017-01-21,Shipped,12552,Elene Dufall,UT,160,T-Shirt,Clothing,15.2,1,,,
11306-5RFQ82-1,11306-5RFQ82,2017-03-05,Shipped,11306,Thorstein Huckabe,TN,230,Magnemo,Electronics,70.5,1,,,
10248-6PAS18-1,10248-6PAS18,2015-10-22,Shipped,10248,Lion Ashforth,CA,320,ChalkTalk,Home,69.96,1,,,
10248-6PAS18-2,10248-6PAS18,2015-10-22,Shipped,10248,Lion Ashforth,CA,320,ChalkTalk,Home,66.0,1,,,
10248-6PAS18-3,10248-6PAS18,2015-10-22,Shipped,10248,Lion Ashforth,CA,160,T-Shirt,Clothing,15.84,1,,,
10248-6PAS18-4,10248-6PAS18,2015-10-22,Shipped,10248,Lion Ashforth,CA,230,Magnemo,Electronics,89.25,1,,,
10248-6PAS18-5,10248-6PAS18,2015-10-22,Shipped,10248,Lion Ashforth,CA,120,Polo Shirt,Clothing,36.0,1,,,
12431-3SMA05-1,12431-3SMA05,2016-10-11,Shipped,12431,Saundra Ruprechter,CT,150,Skirt,Clothing,17.48,1,,,
11542-3FYV66-1,11542-3FYV66,2019-02-16,Completed,11542,Dani Czadla,OH,150,Skirt,Clothing,17.86,1,,,
12972-7ONL77-1,12972-7ONL77,2015-06-24,Shipped,12972,Doy Greatland,NC,160,T-Shirt,Clothing,15.68,1,,,
12972-7ONL77-2,12972-7ONL77,2015-06-24,Shipped,12972,Doy Greatland,NC,440,Neptide,Outdoor,1269.0,1,,,
12304-2NMU51-1,12304-2NMU51,2020-05-11,Completed,12304,Leshia Davys,PA,220,Compglass,Electronics,55.5,1,,,
12304-2NMU51-2,12304-2NMU51,2020-05-11,Completed,12304,Leshia Davys,PA,140,Shorts,Clothing,21.39,1,,,
12215-2MYE72-1,12215-2MYE72,2015-06-24,Shipped,12215,Nealy Cuxon,TX,210,Artego,Electronics,100.0,1,,,
12215-2MYE72-2,12215-2MYE72,2015-06-24,Shipped,12215,Nealy Cuxon,TX,240,PortaCode,Electronics,28.25,2,,,
11842-4FAS12-1,11842-4FAS12,2018-10-22,Shipped,11842,Sigismund Lindenstrauss,NY,160,T-Shirt,Clothing,14.24,1,,,
11514-0EYB89-1,11514-0EYB89,2019-04-19,Shipped,11514,Sybila Nairne,VA,160,T-Shirt,Clothing,15.68,1,,,
11870-0UNH56-1,11870-0UNH56,2018-02-21,Shipped,11870,Elvis Attreed,PA,150,Skirt,Clothing,19.38,1,,,
11411-7NPI97-1,11411-7NPI97,2015-12-20,Shipped,11411,Biddie Morteo,TX,240,PortaCode,Electronics,26.75,1,,,
11411-7NPI97-2,11411-7NPI97,2015-12-20,Shipped,11411,Biddie Morteo,TX,150,Skirt,Clothing,20.71,1,,,
10956-2EHM49-1,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,240,PortaCode,Electronics,26.5,1,,,
10956-2EHM49-2,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,340,Peril,Home,11.66,1,,,
10956-2EHM49-3,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,330,Optique,Home,101.97,1,,,
10956-2EHM49-4,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,160,T-Shirt,Clothing,15.52,1,,,
10956-2EHM49-5,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,150,Skirt,Clothing,18.81,1,,,
10956-2EHM49-6,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,140,Shorts,Clothing,23.92,1,,,
10956-2EHM49-7,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,130,Slacks,Clothing,33.92,1,,,
10956-2EHM49-8,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,120,Polo Shirt,Clothing,37.44,1,,,
10956-2EHM49-9,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,220,Compglass,Electronics,51.0,1,,,
10956-2EHM49-10,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,140,Shorts,Clothing,25.99,1,,,
10956-2EHM49-11,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,160,T-Shirt,Clothing,15.68,1,,,
10956-2EHM49-12,10956-2EHM49,2017-10-07,Shipped,10956,Randy Yushkov,NC,130,Slacks,Clothing,33.92,1,,,
12457-8VWY11-1,12457-8VWY11,2016-10-25,Shipped,12457,Melvin Maysor,IN,160,T-Shirt,Clothing,17.28,1,,,
12611-1RDI38-1,12611-1RDI38,2015-05-30,Shipped,12611,Emilie Ciccottini,TN,330,Optique,Home,110.88,1,10008,In-Store,3172
12611-1RDI38-2,12611-1RDI38,2015-05-30,Shipped,12611,Emilie Ciccottini,TN,330,Optique,Home,113.85,1,10008,In-Store,3172
11735-3JSZ14-1,11735-3JSZ14,2015-08-27,Completed,11735,Salvatore Croker,TX,150,Skirt,Clothing,21.09,1,,,
12776-5LDJ29-1,12776-5LDJ29,2017-09-17,Shipped,12776,Rasia O'Duilleain,AZ,160,T-Shirt,Clothing,17.28,1,,,
11860-3LPC25-1,11860-3LPC25,2016-02-22,Completed,11860,Chrystel Rosewarne,OR,220,Compglass,Electronics,49.5,1,,,
12398-2GOE40-1,12398-2GOE40,2018-01-09,Shipped,12398,Dallis Goodlife,TX,310,Applica,Home,30.69,1,,,
11970-2KHX14-1,11970-2KHX14,2020-03-08,Shipped,11970,Starla Vedyashkin,TX,210,Artego,Electronics,95.0,1,,,
11970-2KHX14-2,11970-2KHX14,2020-03-08,Shipped,11970,Starla Vedyashkin,TX,160,T-Shirt,Clothing,16.0,1,,,
11970-2KHX14-3,11970-2KHX14,2020-03-08,Shipped,11970,Starla Vedyashkin,TX,120,Polo Shirt,Clothing,41.04,1,,,
11970-2KHX14-4,11970-2KHX14,2020-03-08,Shipped,11970,Starla Vedyashkin,TX,160,T-Shirt,Clothing,16.16,1,,,
11970-2KHX14-5,11970-2KHX14,2020-03-08,Shipped,11970,Starla Vedyashkin,TX,240,PortaCode,Electronics,28.25,1,,,
