order_line_id,order_id,order_date,order_status,customer_id,fullname,state,product_id,product_name,category,price,quantity,campaign_id,channel,budget
10763-1GUI85-1,10763-1GUI85,2018-10-24,Returned,10763,Lion Marishenko,MI,130,Slacks,Clothing,44.34,1.0,,,
10763-1GUI85-2,10763-1GUI85,2018-10-24,Returned,10763,Lion Marishenko,MI,160,T-Shirt,Clothing,21.39,1.0,,,
10646-2SVJ15-1,10646-2SVJ15,2019-12-15,Delivered,10646,Raffaello Figg,TX,240,PortaCode,Electronics,25.53,1.0,,,
10646-2SVJ15-2,10646-2SVJ15,2019-12-15,Delivered,10646,Raffaello Figg,TX,240,PortaCode,Electronics,30.95,1.0,,,
10646-2SVJ15-3,10646-2SVJ15,2019-12-15,Delivered,10646,Raffaello Figg,TX,240,PortaCode,Electronics,33.5,1.0,,,
10626-9BZL85-1,10626-9BZL85,2016-02-02,Delivered,10626,Rhiamon Yerborn,FL,140,Shorts,Clothing,20.29,1.0,,,
10516-7DCB91-1,10516-7DCB91,2016-01-13,Delivered,10516,Ranee Likly,LA,150,Skirt,Clothing,21.37,1.0,,,
10173-1CZY78-1,10173-1CZY78,2017-02-22,Delivered,10173,Adrien Northway,FL,340,Peril,Home,12.99,1.0,10040,Microsites,2000
10173-1CZY78-2,10173-1CZY78,2017-02-22,Delivered,10173,Adrien Northway,FL,340,Peril,Home,12.61,1.0,10040,Microsites,2000
10957-9KEY88-1,10957-9KEY88,2015-11-23,Delivered,10957,Zelig Goodey,PA,160,T-Shirt,Clothing,16.3,1.0,10017,Report Sponsorship,3600
10979-3UVM34-1,10979-3UVM34,2016-05-20,Delivered,10979,Clementina Pennrington,MT,130,Slacks,Clothing,30.69,1.0,,,
10590-1HMO02-1,10590-1HMO02,2017-03-12,Delivered,10590,Vicky Tuminini,NC,230,Magnemo,Electronics,95.5,1.0,,,
10590-1HMO02-2,10590-1HMO02,2017-03-12,Delivered,10590,Vicky Tuminini,NC,140,Shorts,Clothing,26.89,1.0,,,
10590-1HMO02-3,10590-1HMO02,2017-03-12,Delivered,10590,Vicky Tuminini,NC,150,Skirt,Clothing,21.55,1.0,,,
10590-1HMO02-4,10590-1HMO02,2017-03-12,Delivered,10590,Vicky Tuminini,NC,130,Slacks,Clothing,40.38,1.0,,,
10163-7RUN06-1,10163-7RUN06,2017-09-01,Delivered,10163,Viki Gooderridge,WI,240,PortaCode,Electronics,33.57,1.0,,,
10163-7RUN06-2,10163-7RUN06,2017-09-01,Delivered,10163,Viki Gooderridge,WI,340,Peril,Home,13.63,1.0,,,
10163-7RUN06-3,10163-7RUN06,2017-09-01,Delivered,10163,Viki Gooderridge,WI,340,Peril,Home,9.3,1.0,,,
10163-7RUN06-4,10163-7RUN06,2017-09-01,Delivered,10163,Viki Gooderridge,WI,130,Slacks,Clothing,42.6,1.0,,,
10163-7RUN06-5,10163-7RUN06,2017-09-01,Delivered,10163,Viki Gooderridge,WI,160,T-Shirt,Clothing,17.78,1.0,,,
10026-2HVB33-1,10026-2HVB33,2016-08-25,Delivered,10026,Hedda MacCrosson,MD,240,PortaCode,Electronics,27.01,1.0,,,
10418-4ZVC89-1,10418-4ZVC89,2018-05-04,Delivered,10418,Mirella Eslemont,IA,130,Slacks,Clothing,32.67,1.0,,,
10418-4ZVC89-2,10418-4ZVC89,2018-05-04,Delivered,10418,Mirella Eslemont,IA,220,Compglass,Electronics,61.99,1.0,,,
