customer_id,fullname,email_address,birthdate,gender,city,state,postal_code,country_code2,frequency
10001,Lindie Rennebeck,lrennebeck0@myspace.com,1984-06-28,F,Bakersfield,CA,93305,US,2
10002,Herschel Farquharson,hfarquharson1@fc2.com,1981-06-30,M,Erie,PA,16522,US,1
10003,Daphna Franses,dfranses2@google.com.au,1982-09-03,F,Los Angeles,CA,90101,US,2
10004,Coraline Danilyak,cdanilyak3@discovery.com,1986-12-27,F,Garland,TX,75049,US,1
10005,Dannye D'Elias,ddelias4@yellowbook.com,1990-08-04,F,Bethlehem,PA,18018,US,4
10006,Isidor Grestye,igrestye5@hostgator.com,1983-10-07,M,Kent,WA,98042,US,2
10007,Kenn Davidovic,kdavidovic6@amazon.com,1977-12-23,M,Denver,CO,80235,US,1
10008,Charmion Lettuce,clettuce7@i2i.jp,1982-09-14,F,Appleton,WI,54915,US,2
10009,Vernor McGillecole,vmcgillecole8@tuttocitta.it,1974-05-01,M,Sterling,VA,20167,US,1
10010,Debor Leffek,dleffek9@slashdot.org,1979-11-02,F,Jacksonville,FL,32277,US,1
10011,Daisie Durber,ddurbera@netlog.com,1976-01-18,F,Naples,FL,33961,US,1
10012,Dore Terbeck,dterbeckb@cyberchimps.com,1993-03-10,M,West Palm Beach,FL,33411,US,3
10013,Saundra Thomson,sthomsonc@cargocollective.com,1964-05-30,F,Wilmington,DE,19886,US,2
10014,Gnni Tonkin,gtonkind@storify.com,1973-06-11,F,Denver,CO,80241,US,1
10015,Andra Verrill,averrille@netlog.com,1993-10-20,F,Honolulu,HI,96815,US,1
10016,Karon Kett,kkettf@reverbnation.com,1986-05-30,F,Bryan,TX,77806,US,4
10017,Gerri Bartholomew,gbartholomewg@patch.com,1989-06-11,M,Temple,TX,76505,US,1
10018,Blaire Lamacraft,blamacrafth@unicef.org,1975-06-18,F,New York City,NY,10045,US,1
10019,Ari Ferentz,aferentzi@si.edu,1981-02-26,M,Valley Forge,PA,19495,US,1
10020,Matthieu Grindrod,mgrindrodj@photobucket.com,1988-08-06,M,Greenville,SC,29610,US,1
10021,Buddy Cregeen,bcregeenk@ask.com,1975-03-27,M,Akron,OH,44305,US,2
10022,Cornall Menichi,cmenichil@google.pl,1974-05-13,M,Rochester,NY,14614,US,2
10023,Horacio Lerhinan,hlerhinanm@japanpost.jp,1992-01-26,M,San Francisco,CA,94159,US,1
10024,Tabina Reston,trestonn@ucla.edu,1983-11-13,F,Tucson,AZ,85720,US,3
10025,Lotti Ilett,liletto@cnn.com,1993-06-05,F,Minneapolis,MN,55441,US,1
10026,Hedda MacCrosson,hmaccrossonp@nps.gov,1984-04-13,F,Baltimore,MD,21216,US,2
10027,Suzy Zolini,szoliniq@symantec.com,1986-03-18,F,Roanoke,VA,24048,US,1
10028,Alejandro Ackeroyd,aackeroydr@google.com,1987-08-26,M,Philadelphia,PA,19136,US,1
10029,Farly Elen,felens@illinois.edu,1983-09-04,M,Milwaukee,WI,53210,US,1
10030,Tabby Kryszka,tkryszkat@nasa.gov,1985-09-29,M,Washington,DC,20575,US,2
